"Influences","Influenced"
"Ivan Turgenev","Ernest Hemingway "
"John Donne","Ernest Hemingway "
"Knut Hamsun","Ernest Hemingway "
"Anton Chekhov","Ernest Hemingway "
"G. K. Chesterton","Ernest Hemingway "
"Gertrude Stein","Ernest Hemingway "
"Ambrose Bierce","Ernest Hemingway "
"Sherwood Anderson","Ernest Hemingway "
"Frederic Manning","Ernest Hemingway "
"Gottlob Frege","Edmund Husserl "
"Franz Brentano","Edmund Husserl "
"René Descartes","Edmund Husserl "
"Immanuel Kant","Edmund Husserl "
"Sextus Empiricus","Edmund Husserl "
"Franco Basaglia","Edmund Husserl "
"Nazir Ahmed (physicist)","Ernest Rutherford "
"H. G. Wells","Edgar Rice Burroughs "
"Jules Verne","Edgar Rice Burroughs "
"Arthur Conan Doyle","Edgar Rice Burroughs "
"H. Rider Haggard","Edgar Rice Burroughs "
"Paul Gauguin","Edvard Munch "
"Arnold Böcklin","Edvard Munch "
"George Berkeley","Edmund Burke "
"John Selden","Edmund Burke "
"Montesquieu","Edmund Burke "
"Niccolò Machiavelli","Edward Gibbon "
"Friedrich Nietzsche","Franz Kafka "
"Thomas Mann","Franz Kafka "
"August Strindberg","Franz Kafka "
"Gustave Flaubert","Franz Kafka "
"Knut Hamsun","Franz Kafka "
"Søren Kierkegaard","Franz Kafka "
"G. K. Chesterton","Franz Kafka "
"Otto Weininger","Franz Kafka "
"Heinrich von Kleist","Franz Kafka "
"John Stenhouse","Friedrich August Kekulé von Stradonitz "
"Emerich de Vattel","George Washington "
"Jean-Jacques Rousseau","Johann Gottlieb Fichte "
"Salomon Maimon","Johann Gottlieb Fichte "
"Friedrich Heinrich Jacobi","Johann Gottlieb Fichte "
"Baruch Spinoza","Johann Gottlieb Fichte "
"Karl Leonhard Reinhold","Johann Gottlieb Fichte "
"Arthur Schopenhauer","Guy de Maupassant "
"Gustave Flaubert","Guy de Maupassant "
"Robert Benchley","Groucho Marx "
"Lewis Spence","Gerald Gardner "
"Ovid","Geoffrey Chaucer "
"Dante Alighieri","Giovanni Boccaccio "
"Ovid","Giovanni Boccaccio "
"Alexandre Dumas","Henryk Sienkiewicz "
"Jorge Luis Borges","Harlan Ellison "
"Roger Zelazny","Harlan Ellison "
"Theodore Sturgeon","Harlan Ellison "
"Jules Verne","Hugo Gernsback "
"Friedrich Nietzsche","Herbert Marcuse "
"Georg Wilhelm Friedrich Hegel","Herbert Marcuse "
"Max Horkheimer","Herbert Marcuse "
"Karl Marx","Herbert Marcuse "
"August Strindberg","Henrik Ibsen "
"Henrik Wergeland","Henrik Ibsen "
"Søren Kierkegaard","Henrik Ibsen "
"Jens Peter Jacobsen","Henrik Ibsen "
"Emanuel Swedenborg","Helen Keller "
"August Strindberg","Ingmar Bergman "
"John Doyle (artist)","John Tenniel "
"George Berkeley","John Stuart Mill "
"Plato","John Stuart Mill "
"Josiah Warren","John Stuart Mill "
"David Hume","John Stuart Mill "
"Auguste Comte","John Stuart Mill "
"Alexis de Tocqueville","John Stuart Mill "
"Epicurus","John Stuart Mill "
"Jeremy Bentham","John Stuart Mill "
"Alexander Bain","John Stuart Mill "
"Edgar Rice Burroughs","James Cameron "
"Harlan Ellison","James Cameron "
"H. G. Wells","John Wyndham "
"Karl Marx","Joseph Stalin "
"Bruno Schulz","Jerzy Kosinski "
"Alexandre Dumas","Jules Verne "
"Marcel Proust","John Updike "
"Vladimir Nabokov","John Updike "
"J. D. Salinger","John Updike "
"John Cheever","John Updike "
"Søren Kierkegaard","John Updike "
"Truman Capote","John Updike "
"Robert Burns","John Steinbeck "
"Sherwood Anderson","John Steinbeck "
"H. G. Wells","Joseph Conrad "
"Ivan Turgenev","Joseph Conrad "
"Antoni Malczewski","Joseph Conrad "
"H. Rider Haggard","Joseph Conrad "
"Agustus Montrose","Joseph Conrad "
"Jack Kerouac","John Lennon "
"Dylan Thomas","John Lennon "
"Allen Ginsberg","John Lennon "
"Samuel Richardson","Jean-Jacques Rousseau "
"Michel de Montaigne","Jean-Jacques Rousseau "
"Hugo Grotius","Jean-Jacques Rousseau "
"Baruch Spinoza","Jean-Jacques Rousseau "
"Niccolò Machiavelli","Jean-Jacques Rousseau "
"Montesquieu","Jean-Jacques Rousseau "
"Robert W. Chambers","James Blish "
"David Hume","James Madison "
"Henry Briggs (mathematician)","John Napier "
"Doris Lessing","Joanna Russ "
"Kurt Vonnegut","John Irving "
"Raoul Schrott","John Irving "
"Günter Grass","John Irving "
"Robert Benchley","James Thurber "
"Dante Alighieri","John Milton "
"Ovid","John Milton "
"Edmund Spenser","John Milton "
"Virgil","John Milton "
"John Pory","John Milton "
"Martin Gardner","James Randi "
"Georg Wilhelm Friedrich Hegel","Jürgen Habermas "
"Max Horkheimer","Jürgen Habermas "
"Herbert Marcuse","Jürgen Habermas "
"Max Weber","Jürgen Habermas "
"Theodor W. Adorno","Jürgen Habermas "
"Immanuel Kant","Jürgen Habermas "
"Hannah Arendt","Jürgen Habermas "
"Wilhelm Dilthey","Jürgen Habermas "
"Plotinus","Julian the Apostate "
"Juan Tyrone Garcia","Jet Li "
"David Steinberg","John Belushi "
"Jean-Baptiste Biot","Louis Pasteur "
"Antoine Béchamp","Louis Pasteur "
"Agostino Bassi","Louis Pasteur "
"Alexander Herzen","Leon Trotsky "
"Arthur Schopenhauer","Leon Trotsky "
"Karl Marx","Leon Trotsky "
"Friedrich Engels","Leon Trotsky "
"Friedrich de la Motte Fouqué","Louisa May Alcott "
"Niels Bohr","Lise Meitner "
"Hunter S. Thompson","Lester Bangs "
"Ken Kesey","Lester Bangs "
"Norman Mailer","Lester Bangs "
"Conrad Hal Waddington","Margaret Mead "
"Martin Gardner","Marvin Minsky "
"Humphry Davy","Michael Faraday "
"Ursula K. Le Guin","Hayao Miyazaki "
"Jules Cotard","Marcel Proust "
"Binet-Valmer","Marcel Proust "
"Arthur Schopenhauer","Marcel Proust "
"George Eliot","Marcel Proust "
"Henri Bergson","Marcel Proust "
"Ferdinand de Saussure","Noam Chomsky "
"Antonio Gramsci","Noam Chomsky "
"David Hume","Noam Chomsky "
"Karl Marx","Noam Chomsky "
"René Descartes","Noam Chomsky "
"Bertrand Russell","Noam Chomsky "
"George Orwell","Noam Chomsky "
"Immanuel Kant","Noam Chomsky "
"Willard Van Orman Quine","Noam Chomsky "
"Nelson Goodman","Noam Chomsky "
"Marcel Proust","Naguib Mahfouz "
"Taha Hussein","Naguib Mahfouz "
"Clive Barker","Neil Gaiman "
"Edward Plunkett, 18th Baron of Dunsany","Neil Gaiman "
"Michael Moorcock","Neil Gaiman "
"Ray Bradbury","Neil Gaiman "
"T. H. White","Neil Gaiman "
"Harlan Ellison","Neil Gaiman "
"Roger Zelazny","Neil Gaiman "
"H. P. Lovecraft","Neil Gaiman "
"R. A. Lafferty","Neil Gaiman "
"Jack Vance","Neil Gaiman "
"Gene Wolfe","Neil Gaiman "
"Alan Moore","Neil Gaiman "
"G. K. Chesterton","Neil Gaiman "
"Robert A. Heinlein","Neil Gaiman "
"Ursula K. Le Guin","Neil Gaiman "
"G. K. Chesterton","Orson Welles "
"Robert E. Howard","Poul Anderson "
"Jack Vance","Poul Anderson "
"Georg Wilhelm Friedrich Hegel","Peter Singer "
"Henry Sidgwick","Peter Singer "
"John Stuart Mill","Peter Singer "
"R. M. Hare","Peter Singer "
"Duns Scotus","Pope Alexander VI "
"Edmund Husserl","Pope John Paul II "
"Soupy Sales","Paul Reubens "
"Friedrich Nietzsche","Peter Wessel Zapffe "
"Arthur Schopenhauer","Peter Wessel Zapffe "
"Elmore Leonard","Quentin Tarantino "
"Flannery O'Connor","Quentin Tarantino "
"Pauline Kael","Quentin Tarantino "
"Edward Bunker","Quentin Tarantino "
"Shirley Jackson","Richard Matheson "
"Stanley G. Weinbaum","Richard Matheson "
"Franz Kafka","Robert Musil "
"Ernst Mach","Robert Musil "
"Otto Weininger","Robert Musil "
"Alhazen","Roger Bacon "
"George Gurdjieff","Robert Fripp "
"Robert Browning","Robert Frost "
"Augusta Savage","Romare Bearden "
"Georg Wilhelm Friedrich Hegel","Ralph Waldo Emerson "
"Michel de Montaigne","Ralph Waldo Emerson "
"Adam Mickiewicz","Ralph Waldo Emerson "
"Immanuel Kant","Ralph Waldo Emerson "
"Emanuel Swedenborg","Ralph Waldo Emerson "
"H. P. Lovecraft","Robert Bloch "
"Gunnar Nordström","Rolf Nevanlinna "
"William Brinkley","Steven Soderbergh "
"Brian O'Nolan","Spike Milligan "
"Leconte de Lisle","Stéphane Mallarmé "
"Lloyd Alexander","Terry Pratchett "
"Jack Vance","Terry Pratchett "
"G. K. Chesterton","Terry Pratchett "
"Donald Goines","Tupac Shakur "
"Lloyd Alexander","Terry Brooks "
"Lucretius","Virgil "
"Philodemus","Virgil "
"Robert Louis Stevenson","Vladimir Nabokov "
"Nikolai Gogol","Vladimir Nabokov "
"Franz Kafka","Vladimir Nabokov "
"Marcel Proust","Vladimir Nabokov "
"Gustave Flaubert","Vladimir Nabokov "
"Alexander Pushkin","Vladimir Nabokov "
"Anton Chekhov","Vladimir Nabokov "
"Thomas Mayne Reid","Vladimir Nabokov "
"Dante Alighieri","William Blake "
"Emanuel Swedenborg","William Blake "
"Joseph Butler    1","William Paley "
"Rudolf Steiner","Wassily Kandinsky "
"Joel Chandler Harris","Zora Neale Hurston "
"Jack Vance","Roger Zelazny "
"Israel Lyons","Joseph Banks "
"Robert E. Howard","Harry Turtledove "
"L. Sprague de Camp","Harry Turtledove "
"Lazarus Fuchs","Felix Klein "
"Robert Moray","Christiaan Huygens "
"Alphonse de Lamartine","Victor Hugo "
"Sílvio Romero","Victor Hugo "
"Walter Scott","Victor Hugo "
"Voltaire","Victor Hugo "
"Walter Scott","Honoré de Balzac "
"Jan Hus","John Wesley "
"Joseph Cornell","Marcel Duchamp "
"Johann Dieter Wassmann","Marcel Duchamp "
"Herbert Spencer","Jack London "
"Zora Neale Hurston","Alice Walker "
"August Strindberg","Edward Albee "
"Samuel Beckett","Edward Albee "
"Sextus Empiricus","Michel de Montaigne "
"Noam Chomsky","Steven Pinker "
"Edmund Burke","Robert Peel "
"Seebohm Rowntree","David Lloyd George "
"Friedrich Nietzsche","Michel Foucault "
"Ferdinand de Saussure","Michel Foucault "
"Jorge Luis Borges","Michel Foucault "
"Jean-Paul Sartre","Michel Foucault "
"Louis Althusser","Michel Foucault "
"Claude Lévi-Strauss","Michel Foucault "
"Georges Bataille","Michel Foucault "
"Marquis de Sade","Michel Foucault "
"Gustave Flaubert","Michel Foucault "
"Gilles Deleuze","Michel Foucault "
"Karl Marx","Michel Foucault "
"Maurice Merleau-Ponty","Michel Foucault "
"Epicurus","Michel Foucault "
"Immanuel Kant","Michel Foucault "
"Samuel Beckett","Michel Foucault "
"Roland Barthes","Michel Foucault "
"J. L. Austin","Michel Foucault "
"Gaston Bachelard","Michel Foucault "
"Franco Basaglia","Michel Foucault "
"Hans Holbein the Elder","Hans Holbein the Younger "
"Noam Chomsky","Hugo Chávez "
"Dante Alighieri","Anthony Burgess "
"D. H. Lawrence","Anthony Burgess "
"Brian O'Nolan","Anthony Burgess "
"Alasdair Gray","Anthony Burgess "
"George Orwell","Anthony Burgess "
"G. K. Chesterton","Anthony Burgess "
"Søren Kierkegaard","August Strindberg "
"Otto Weininger","August Strindberg "
"Emanuel Swedenborg","August Strindberg "
"Siegfried Sassoon","Edmund Blunden "
"John Clare","Edmund Blunden "
"Spike Milligan","Marty Feldman "
"Noam Chomsky","Robert Fisk "
"Edward Said","Robert Fisk "
"H. P. Lovecraft","John Carpenter "
"Frank Stella","Frank Gehry "
"Richard Pryor","Eddie Murphy "
"Redd Foxx","Eddie Murphy "
"Georg Wilhelm Friedrich Hegel","André Breton "
"Comte de Lautréamont","André Breton "
"Tristan Tzara","André Breton "
"Walter Scott","Elizabeth Gaskell "
"Dorothy Parker","Prince (musician) "
"Georg Wilhelm Friedrich Hegel","Mikhail Bakunin "
"Pierre-Joseph Proudhon","Mikhail Bakunin "
"Jean-Jacques Rousseau","Mikhail Bakunin "
"Karl Marx","Mikhail Bakunin "
"Ludwig Feuerbach","Mikhail Bakunin "
"Pedro Calderón de la Barca","José Zorrilla y Moral "
"Frantz Fanon","Bobby Seale "
"Christopher Smart","Robert Browning "
"Louis-Ferdinand Céline","Henry Miller "
"Arthur Rimbaud","Henry Miller "
"Knut Hamsun","Henry Miller "
"Otto Rank","Henry Miller "
"H. Rider Haggard","Henry Miller "
"Rabindranath Tagore","Henry Miller "
"Samuel Beckett","Václav Havel "
"Harold Pinter","Václav Havel "
"W. S. Gilbert","P. G. Wodehouse "
"Alfred Cort Haddon","W. H. R. Rivers "
"Don DeLillo","Chuck Palahniuk "
"Bret Easton Ellis","Chuck Palahniuk "
"Ken Kesey","Chuck Palahniuk "
"Amy Hempel","Chuck Palahniuk "
"Denis Johnson","Chuck Palahniuk "
"Arthur Schopenhauer","Joris-Karl Huysmans "
"William Ross Ashby","Ludwig von Bertalanffy "
"Georgia O'Keeffe","Paul Gauguin "
"Camille Pissarro","Paul Gauguin "
"Algernon Blackwood","William Hope Hodgson "
"Oscar Wilde","Lawrence Durrell "
"Meary James Thurairajah Tambimuttu","Lawrence Durrell "
"Jorge Luis Borges","Paulo Coelho "
"William Blake","Paulo Coelho "
"Christina Lamb","Paulo Coelho "
"Alexander Pushkin","Osip Mandelstam "
"Arkady Gornfeld","Osip Mandelstam "
"Francisco Suárez","Hugo Grotius "
"August Strindberg","Eugene O'Neill "
"Henry Fielding","Jonathan Coe "
"B. S. Johnson","Jonathan Coe "
"Charles K. Eastman","Robert Towne "
"Charlie Chaplin","Johnny Depp "
"Alfred Jarry","Eugène Ionesco "
"Samuel Beckett","Eugène Ionesco "
"Tristan Tzara","Eugène Ionesco "
"Ion Luca Caragiale","Eugène Ionesco "
"Louis-Ferdinand Céline","Billy Childish "
"John Fante","Billy Childish "
"Redd Foxx","Michael Douglas "
"Stanley Cavell","Terrence Malick "
"Hans Vaihinger","Alfred Adler "
"Friedrich Adolf Trendelenburg","Franz Brentano "
"Margaret Atwood","Kazuo Ishiguro "
"Gustave Flaubert","Louis-Ferdinand Céline "
"Thomas Reid","Alvin Plantinga "
"George Carlin","Ben Stiller "
"John Randall (physicist)","Rosalind Franklin "
"Thomas Reid","William James "
"African Spir","William James "
"John Stuart Mill","William James "
"George Santayana","William James "
"David Hume","William James "
"David Hartley (philosopher)","William James "
"Christoph von Sigwart","William James "
"Alexander Bain","William James "
"Charles Bernard Renouvier","William James "
"Hermann Lotze","William James "
"Ferdinand Canning Scott Schiller","William James "
"William S. Burroughs","Poppy Z. Brite "
"Ramsey Campbell","Poppy Z. Brite "
"Shirley Jackson","Poppy Z. Brite "
"Conrad Hal Waddington","Jean Piaget "
"Plotinus","Bonaventure "
"Anselm of Canterbury    1","Bonaventure "
"Joel Chandler Harris","Flannery O'Connor "
"George Washington Harris","Flannery O'Connor "
"Antonio Gramsci","Eric Hobsbawm "
"Epictetus","Arrian "
"Herbert Marcuse","John Zerzan "
"Ivan Illich","John Zerzan "
"William Lax","Henry Cavendish "
"Cheech & Chong","Adam Sandler "
"Sam Kinison","Adam Sandler "
"Chris Rush","Adam Sandler "
"David Steinberg","Bill Murray "
"Elizabeth Barrett Browning","Algernon Charles Swinburne "
"Edmund John","Algernon Charles Swinburne "
"Lenny Bruce","Jerry Seinfeld "
"Larry David","Jerry Seinfeld "
"Robert Klein","Jerry Seinfeld "
"Jean Shepherd","Jerry Seinfeld "
"Johnny Carson","Jerry Seinfeld "
"George Carlin","Jerry Seinfeld "
"Paul Auster","Steven Wright "
"George Carlin","Steven Wright "
"Tadeusz Borowski","Imre Kertész "
"August Strindberg","Pär Lagerkvist "
"Émile Durkheim","Pierre Bourdieu "
"Gaston Bachelard","Pierre Bourdieu "
"Alexander Bickel","Robert Bork "
"Democritus","Pyrrho "
"Johann Heinrich Schulze","Nicéphore Niépce "
"Lenny Bruce","Eddie Izzard "
"Steve Martin","Eddie Izzard "
"Richard Pryor","Eddie Izzard "
"Billy Connolly","Eddie Izzard "
"Monty Python","Eddie Izzard "
"Harold Lloyd","Jackie Chan "
"Mark Dacascos","Jackie Chan "
"Juan Tyrone Garcia","Jackie Chan "
"James Thurber","Bob Newhart "
"Robert Benchley","Bob Newhart "
"Irwin Corey","Bob Newhart "
"Friedrich de la Motte Fouqué","George MacDonald "
"Novalis","George MacDonald "
"Georges Sorel","Benito Mussolini "
"Giovanni Gentile","Benito Mussolini "
"Samuel Beckett","Cormac McCarthy "
"John LeKay","Damien Hirst "
"Mort Sahl","Dick Gregory "
"Melozzo da Forlì","Donato Bramante "
"Robinson Jeffers","Edward Abbey "
"Wallace Stegner","Edward Abbey "
"Kurt Lewin","Fritz Perls "
"Sigmund Freud","Fritz Perls "
"Kurt Goldstein","Fritz Perls "
"Adam Mickiewicz","Comte de Lautréamont "
"Paul Verlaine","Arthur Rimbaud "
"Leconte de Lisle","Arthur Rimbaud "
"Eugenio Montale","Andrea Zanzotto "
"Giovanni Papini","Mircea Eliade "
"Joachim Wach","Mircea Eliade "
"Jean-Paul Sartre","Joss Whedon "
"Alan Moore","Joss Whedon "
"Kazimierz Brodziński","Adam Mickiewicz "
"Antoni Malczewski","Adam Mickiewicz "
"Stefan Florian Garczyński","Adam Mickiewicz "
"Frantz Fanon","Ali Shariati "
"Edwin Way Teale","Maurice Maeterlinck "
"Thomas Hobbes","Joseph Butler "
"Francis Hutcheson (philosopher)","Joseph Butler "
"Giambattista Vico","François-René de Chateaubriand "
"Robert W. Chambers","Robert Shea "
"Jean Piaget","Lawrence Kohlberg "
"August Strindberg","John Osborne "
"Augustus Le Plongeon","Helena Blavatsky "
"William Styron","Janet Frame "
"William F. Buckley, Jr.","Pat Buchanan "
"Joseph de Maistre","Pat Buchanan "
"Sergei Winogradsky","Martinus Beijerinck "
"Jon Ronson","Louis Theroux "
"Robie Macauley","Paul Theroux "
"W. E. B. Du Bois","Bayard Rustin "
"Robert S. Barton","Edwin Catmull "
"Nicolas Léonard Sadi Carnot","Rudolf Clausius "
"Thomas Paine","Robert G. Ingersoll "
"Edgar Rice Burroughs","John Norman "
"Charlie Chaplin","Marcel Marceau "
"Richard Wright (author)","James Baldwin "
"Leo Strauss","Andrew Sullivan "
"George Orwell","Andrew Sullivan "
"Michael Oakeshott","Andrew Sullivan "
"Franz Joseph Gall","Cesare Lombroso "
"Nikolai Gogol","Ivan Turgenev "
"Johann Wolfgang von Goethe","Ivan Turgenev "
"Gustave Flaubert","Ivan Turgenev "
"Alexander Pushkin","Ivan Turgenev "
"Vissarion Belinsky","Ivan Turgenev "
"Lord Byron","Ivan Turgenev "
"Wilhelm von Gloeden","Joseph Beuys "
"Rudolf Steiner","Joseph Beuys "
"Friedrich Nietzsche","George Santayana "
"William James","George Santayana "
"Arthur Schopenhauer","George Santayana "
"Democritus","George Santayana "
"Lucretius","George Santayana "
"Baruch Spinoza","George Santayana "
"William Blake","Khalil Gibran "
"Francis Marrash","Khalil Gibran "
"Frantz Fanon","Huey P. Newton "
"Louis Leithold","Jaime Escalante "
"Hans Hofmann","Clement Greenberg "
"Masaoka Shiki","Itō Sachio "
"Dennis Potter","Steven Bochco "
"Franz Kafka","Kōbō Abe "
"Jun Ishikawa (author)","Kōbō Abe "
"Leo Strauss","Eric Voegelin "
"Othmar Spann","Eric Voegelin "
"Hans Jonas","Eric Voegelin "
"Henri Bergson","Eric Voegelin "
"Arthur Schopenhauer","Mihai Eminescu "
"Ion Heliade Rădulescu","Mihai Eminescu "
"Simon Vouet","Charles Le Brun "
"Claude Adrien Helvétius","Cesare Beccaria "
"Hugo Grotius","John Selden "
"Maya Deren","Stan Brakhage "
"Sigmund Freud","Wilhelm Reich "
"Antoine Béchamp","Wilhelm Reich "
"Roger Zelazny","Joe Haldeman "
"Robert S. Barton","John Warnock "
"Friedrich Nietzsche","Georges Bataille "
"Georg Wilhelm Friedrich Hegel","Georges Bataille "
"Lev Shestov","Georges Bataille "
"Marquis de Sade","Georges Bataille "
"Thomas Hardy","John Fowles "
"Edmund Burke","Joseph de Maistre "
"Giambattista Vico","Joseph de Maistre "
"Stanley William Hayter","Alexander Calder "
"Edward Wright (mathematician)","Willebrord Snellius "
"George Gurdjieff","Thomas de Hartmann "
"George Gurdjieff","John G. Bennett "
"Jonathan Winters","Richard Lewis (comedian) "
"Joseph de Maistre","Charles Maurras "
"Auguste Comte","Charles Maurras "
"Robert Moray","James Gregory (mathematician) "
"William Gibson","Cory Doctorow "
"George Orwell","Cory Doctorow "
"Hannah Arendt","Alain Finkielkraut "
"Dorothy Parker","Nora Ephron "
"Kingsley Amis","Christopher Hitchens "
"Salman Rushdie","Christopher Hitchens "
"John Stuart Mill","Christopher Hitchens "
"Noam Chomsky","Christopher Hitchens "
"Vladimir Nabokov","Christopher Hitchens "
"Joseph Heller","Christopher Hitchens "
"Oscar Wilde","Christopher Hitchens "
"Gore Vidal","Christopher Hitchens "
"Richard Hofstadter","Christopher Hitchens "
"George Orwell","Christopher Hitchens "
"Thomas Paine","Christopher Hitchens "
"Edward Said","Christopher Hitchens "
"Gottfried Leibniz","Lyndon LaRouche "
"Gregory Bateson","John Grinder "
"Kurt Vonnegut","Jon Stewart "
"Lenny Bruce","Jon Stewart "
"Steve Martin","Jon Stewart "
"George Carlin","Jon Stewart "
"Garry Shandling","Jon Stewart "
"Grigol Robakidze","Romain Rolland "
"Paul McCarthy","Jake and Dinos Chapman "
"Alfred North Whitehead","Terence McKenna "
"Marshall McLuhan","Terence McKenna "
"Richard Evans Schultes","Terence McKenna "
"A. J. Ayer","P. F. Strawson "
"Immanuel Kant","P. F. Strawson "
"Cheng Yi (philosopher)","Zhu Xi "
"Zhou Dunyi","Zhu Xi "
"Auguste Comte","Herbert Spencer "
"Kurt Vonnegut","Jhonen Vasquez "
"Franz Kafka","Jhonen Vasquez "
"Chester Brown","Jhonen Vasquez "
"Paul Otlet","J. C. R. Licklider "
"William Rowan Hamilton","Peter Guthrie Tait "
"Thomas Aquinas","Fulton J. Sheen "
"Gertrude Stein","John Ashbery "
"Wallace Stevens","John Ashbery "
"Pío Baroja","John Dos Passos "
"Per Wahlöö","Henning Mankell "
"Maj Sjöwall","Henning Mankell "
"Murray Rothbard","Lew Rockwell "
"Okey Ndibe","Chinua Achebe "
"Pier Paolo Pasolini","Diamanda Galás "
"Raoul Schrott","Gabriel García Márquez "
"Franz Kafka","Gabriel García Márquez "
"Günter Grass","Gabriel García Márquez "
"Juan Rulfo","Gabriel García Márquez "
"G. K. Chesterton","Gabriel García Márquez "
"Arnold Böcklin","Giorgio de Chirico "
"Otto Weininger","Giorgio de Chirico "
"Johann Wolfgang von Goethe","Günter Grass "
"Franz Kafka","Günter Grass "
"John Dos Passos","Günter Grass "
"Henri Matisse","Hans Hofmann "
"Rainer Maria Rilke","J. D. Salinger "
"Franz Kafka","J. D. Salinger "
"Robert Burns","J. D. Salinger "
"Anton Chekhov","J. D. Salinger "
"Sherwood Anderson","J. D. Salinger "
"Wallace Stevens","James Merrill "
"Jerry Clower","Jeff Foxworthy "
"Jon Ronson","John Safran "
"Flannery O'Connor","Joyce Carol Oates "
"Emily Brontë","Joyce Carol Oates "
"Doris Lessing","Joyce Carol Oates "
"Johnny Carson","Kathy Griffin "
"Terence McKenna","Clifford A. Pickover "
"Cornelius Castoriadis","Daniel Cohn-Bendit "
"Thomas Cole","Frederic Edwin Church "
"Johannes Scotus Eriugena","Nicholas of Cusa "
"Meister Eckhart","Nicholas of Cusa "
"Pseudo-Dionysius the Areopagite","Nicholas of Cusa "
"Proclus","Nicholas of Cusa "
"Albertus Magnus    1","Nicholas of Cusa "
"Bonaventure    1","Nicholas of Cusa "
"Alfonso A. Ossorio","Jean Dubuffet "
"J. G. Ballard","Alex Garland "
"H. P. Lovecraft","Peter Straub "
"Robert Aickman","Peter Straub "
"Ayn Rand","John Stossel "
"Christian Wolff (philosopher)","Alexander Gottlieb Baumgarten "
"Hilary Putnam","Donald Davidson (philosopher) "
"Baruch Spinoza","Donald Davidson (philosopher) "
"Willard Van Orman Quine","Donald Davidson (philosopher) "
"Gottlob Frege","Michael Dummett "
"Salman Rushdie","Zadie Smith "
"Vladimir Nabokov","Zadie Smith "
"Zora Neale Hurston","Zadie Smith "
"Du Fu","Su Shi "
"Bartholomeus van der Helst","Govert Flinck "
"Mahasweta Devi","Gayatri Chakravorty Spivak "
"R. Radhakrishnan","Gayatri Chakravorty Spivak "
"Edward Said","Gayatri Chakravorty Spivak "
"Jean-Paul Sartre","R. D. Laing "
"Gregory Bateson","R. D. Laing "
"Loren Mosher","R. D. Laing "
"Ferguson Rodger","R. D. Laing "
"Étienne Balibar","Jacques Rancière "
"William Godwin","Robert Owen "
"Muhammad Husayn Tabatabaei","Mohammad Beheshti "
"Martin Gardner","Michael Shermer "
"Thomas Henry Huxley","Michael Foster (physiologist) "
"Jorge Luis Borges","Julio Cortázar "
"Lawrence Durrell","Julio Cortázar "
"Ambrose Bierce","Julio Cortázar "
"Johann Wolfgang von Goethe","France Prešeren "
"Paul Auster","Hideo Kojima "
"Friedrich Albert Lange","Eduard Bernstein "
"Friedrich Nietzsche","Muhammad Iqbal "
"Johann Wolfgang von Goethe","Muhammad Iqbal "
"Daagh","Muhammad Iqbal "
"Thomas Walker Arnold","Muhammad Iqbal "
"Ahmad Sirhindi","Muhammad Iqbal "
"Bayazid Bastami","Muhammad Iqbal "
"Henri Bergson","Muhammad Iqbal "
"G. K. Chesterton","E. F. Schumacher "
"Ursula Nordstrom","Margaret Wise Brown "
"Redd Foxx","Michael Jackson "
"Nipsey Russell","Michael Jackson "
"Rabindranath Tagore","Pablo Neruda "
"Rodney Dangerfield","Robert Klein "
"Jack Paar","Robert Klein "
"Arthur Schopenhauer","Robinson Jeffers "
"Hirotsu Kazuo","Naoya Shiga "
"H. G. Wells","Stanley G. Weinbaum "
"Günter Grass","Graham Swift "
"Jules Tannery","Émile Borel "
"Victor Hugo","Leconte de Lisle "
"Ludwig Feuerbach","Leconte de Lisle "
"Oscar Wilde","Pete Doherty "
"William Gibson","Richard Morgan (author) "
"Charles Darwin","Joseph Dalton Hooker "
"Guillaume-François Rouelle","Joseph Proust "
"Rod Serling","R. L. Stine "
"Cheech & Chong","Jackie Martling "
"Jules Tannery","Élie Cartan "
"Joaquim Maria Machado de Assis","Chico Buarque "
"Franz Bauer","William Jackson Hooker "
"Jules Tannery","Paul Painlevé "
"Georg Wilhelm Friedrich Hegel","Vladimir Lenin "
"Alexander Herzen","Vladimir Lenin "
"Nikolay Dobrolyubov","Vladimir Lenin "
"Karl Marx","Vladimir Lenin "
"Friedrich Engels","Vladimir Lenin "
"Joseph Dietzgen","Vladimir Lenin "
"William S. Burroughs","Robert Wyatt "
"Harry Crosby","Henri Cartier-Bresson "
"Adam Smith","Manuel Belgrano "
"Howard Hendricks","Chuck Swindoll "
"Joaquim Maria Machado de Assis","Jorge Amado "
"Percy Bysshe Shelley","Subramanya Bharathi "
"Raoul Schrott","Patrick Süskind "
"Günter Grass","Patrick Süskind "
"Noam Chomsky","Jerry Fodor "
"David Hume","Jerry Fodor "
"Hilary Putnam","Jerry Fodor "
"Nelson Goodman","Jerry Fodor "
"Giambattista Vico","Erich Auerbach "
"Anton Chekhov","John Cheever "
"Lenny Bruce","Andrew Dice Clay "
"Redd Foxx","Andrew Dice Clay "
"Pauline Kael","Greil Marcus "
"Elisabeth Elliot","Joshua Harris "
"David Hume","Simon Blackburn "
"Sultan Bashiruddin Mahmood","Abdul Qadeer Khan "
"Friedrich Tinner","Abdul Qadeer Khan "
"Maurice Ewing","Frank Press "
"Leconte de Lisle","Rubén Darío "
"Louis-Ferdinand Céline","William T. Vollmann "
"Cao Xueqin","Ba Jin "
